Altium Designer Pick and Place Locations
F:\PROJECTS\Dermscope_v2.2\Project Outputs for X98_CARRIER_V1R2\Pick Place for X98_CARRIER_V1R2_12082022.csv

========================================================================================================================
File Design Information:

Date:       15/04/24
Time:       00:04
Revision:   1c344e993bcac4b7cc07cf5e4cb99f57174f8d7c
Variant:    No variations
Units used: mm

"Layer","Designator","Center-X(mm)","Center-Y(mm)","Rotation","Footprint","Description","Manufacturer Part Number-1"
"BottomLayer","R816","30.6285","47.5917","90","0603_RES_1","RES 4.99K OHM %1 1/10W 0603","RC0603FR-074K99L"
"BottomLayer","R815","61.5954","9.0333","270","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R814","38.7484","46.6900","180","0402_RES","24.9 ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) - Thick Film","RC0402FR-0724K9L"
"BottomLayer","R813","31.1538","43.0070","180","0402_RES","330 ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film","CRGCQ0402J330R"
"BottomLayer","R812","66.1968","3.2300","180","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R811","67.8620","3.2300","0","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R810","65.9485","8.4498","270","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R809","60.7064","9.0333","270","0402_RES","2.2 ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film","CRGCQ0402F2K2"
"BottomLayer","R808","66.1968","4.0332","0","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R807","67.8620","4.0332","180","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R634","55.7622","22.5688","180","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R633","53.0077","21.8784","90","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R632","55.8348","45.4758","90","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R631","57.0209","20.3246","90","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R630","52.8716","20.3398","270","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R629","59.0542","19.1976","0","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R628","62.0760","20.2227","270","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R627","48.5934","17.3609","0","0402_RES","RES 100K OHM 5% 1/16W 0402","RMCF0402JT100K"
"BottomLayer","R626","59.9170","23.6960","90","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R625","62.0760","21.7480","90","0402_RES","RES 10K OHM 5% 1/16W 0402","RMCF0402JT10K0"
"BottomLayer","R624","47.1870","15.4277","180","0402_RES","RES 100K OHM 5% 1/16W 0402","RMCF0402JT100K"
"BottomLayer","R623","47.1621","14.5943","180","0402_RES","RES 100K OHM 5% 1/16W 0402","RMCF0402JT100K"
"BottomLayer","R610","59.9707","35.3261","180","0402_RES","3 ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","RMCF0402FT3K00"
"BottomLayer","R609","59.9819","34.4528","0","0402_RES","3 ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","RMCF0402FT3K00"
"BottomLayer","R604","62.5395","30.9868","90","0402_RES","RES 0 OHM JUMPER 1/16W 0402","RMCF0402ZT0R00"
"BottomLayer","R600","52.7194","46.5530","0","0402_RES","RES 510K OHM 1% 1/16W 0402","RMCF0402FT510K"
"BottomLayer","R514","35.0714","16.1594","270","0402_RES","RES 100K OHM 5% 1/16W 0402","RMCF0402JT100K"
"BottomLayer","R505","34.2607","16.1594","90","0402_RES","RES 47K OHM 5% 1/16W 0402","MCR01MZPJ473"
"BottomLayer","R504","32.0838","16.1594","90","0402_RES","RES 47K OHM 5% 1/16W 0402","MCR01MZPJ473"
"BottomLayer","R503","40.9314","16.3863","90","0402_RES","RES 47K OHM 5% 1/16W 0402","MCR01MZPJ473"
"BottomLayer","R502","37.7692","15.8133","180","0402_RES","RES 47K OHM 5% 1/16W 0402","MCR01MZPJ473"
"BottomLayer","R501","33.2220","16.1594","90","0402_RES","RES 47K OHM 5% 1/16W 0402","MCR01MZPJ473"
"BottomLayer","R500","41.8072","17.8617","90","0402_RES","RES 47K OHM 5% 1/16W 0402","MCR01MZPJ473"
"BottomLayer","R117","31.0189","32.1360","0","0402_RES","2.2 ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film","CRGCQ0402F2K2"
"BottomLayer","R115","29.8751","31.3337","90","0402_RES","RES 0 OHM JUMPER 1/16W 0402","RMCF0402ZT0R00"
"BottomLayer","R112","31.2158","44.0134","0","0402_RES","330 ±5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film","CRGCQ0402J330R"
"BottomLayer","R106","27.0390","22.2298","180","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R105","27.8518","23.6776","180","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R104","26.1866","24.4808","0","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R103","26.2628","23.4394","0","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R102","58.4584","23.6960","90","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","R100","63.2960","20.5438","0","0402_RES","RES 4.7K OHM 5% 1/16W 0402","RC0402JR-074K7L"
"BottomLayer","Q802","63.7662","9.6333","180","SOT23","TRANS PNP 65V 0.1A SOT-23","BC856"
"BottomLayer","Q603","55.0862","21.0820","90","SOT-363","MOSFET DUAL N-CHANNEL 20V 250MA SOT-363","SSM6N37FU,LF"
"BottomLayer","Q602","59.7598","20.9804","270","SOT-363","MOSFET DUAL N-CHANNEL 20V 250MA SOT-363","SSM6N37FU,LF"
"BottomLayer","Q601","49.6753","15.5293","180","SOT23","TRANS PNP 65V 0.1A SOT-23","BC846B,215"
"BottomLayer","Q500","44.1186","15.8744","90","SOT23","MOSFET P-CH 20V 4.2A SOT23","DMG2305UX-13"
"BottomLayer","L907","22.4805","8.5369","180","0603_RES_1","Ferrite Beads Multi-Layer 120Ohm 25% 100MHz 2A 0.05Ohm DCR 0603 Automotive T/R","BLM18PG121SH1D"
"BottomLayer","L902","23.1355","19.4019","90","0603_RES_1","0OHM 0603","RC0603JR-070RL"
"BottomLayer","L805","35.9575","42.0703","270","0603_RES_1","0OHM 0603","RC0603JR-070RL"
"BottomLayer","L804","42.8180","50.5714","270","IND-NRS5030T2R2NMGJ","Shielded Wirewound Inductor 23mOhm Nonstandard","NRS5030T2R2NMGJ"
"BottomLayer","L606","60.3722","33.4936","180","0603_RES_1","Power Line Ferrite Bead 0603 (1608 Metric) 2.2A 50mOhmFERRITE BEAD 220 OHM 0603 1LN","TDK Corporation"
"BottomLayer","L601","43.5870","34.7033","0","0603_RES_1","Power Line Ferrite Bead 0603 (1608 Metric) 2.2A 50mOhmFERRITE BEAD 220 OHM 0603 1LN","TDK Corporation"
"BottomLayer","L600","60.8304","43.2827","270","0603_RES_1","Power Line Ferrite Bead 0603 (1608 Metric) 2.2A 50mOhmFERRITE BEAD 220 OHM 0603 1LN","TDK Corporation"
"BottomLayer","L500","41.9367","15.9681","90","0603_RES_1","0OHM 0603","RC0603JR-070RL"
"BottomLayer","D901","24.5860","12.6740","90","SOD523_-_SZESD","VS DIODE 5V SOD523","ESD5B5.0ST1G"
"BottomLayer","D801","61.1822","6.7310","270","SOD-323","DIODE ZENER 15V 400MW SOD323","PDZ15B,115"
"BottomLayer","D800","60.7250","11.7094","90","SOD-323","DIODE ZENER 5.1V 320MW SOD323","PZU5.1B2A,115"
"BottomLayer","CON600","65.9110","35.2126","270","CON-SFV30R-2STBE1HLF","30 Position FFC, FPC Connector Contacts, Top 0.020" (0.50mm) Surface Mount, Right Angle","SFV30R-2STBE1HLF"
"BottomLayer","C916","15.2082","25.1714","0","0402_CC_2","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C915","12.3336","25.5425","270","0402_CC","CAP CER 100PF 50V C0G/NPO 0402","CC0402JRNPO9BN101"
"BottomLayer","C914","11.4446","25.5425","270","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C913","17.7482","25.9588","180","0805_2","CAP CER 10UF 16V X5R 0805","CL21A106KOQNNNG"
"BottomLayer","C912","17.6268","27.4018","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C911","17.6268","28.4178","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C910","13.0294","27.9352","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C909","17.6014","30.1450","0","0402_CC","CAP CER 100PF 50V C0G/NPO 0402","CC0402JRNPO9BN101"
"BottomLayer","C908","17.6014","29.3068","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C907","13.0294","30.9324","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C904","18.0022","31.4960","0","0805_2","CAP CER 10UF 16V X5R 0805","CL21A106KOQNNNG"
"BottomLayer","C903","15.6654","31.8516","180","0402_CC_2","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C806","38.2285","41.6077","180","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
"BottomLayer","C805","33.2986","46.7566","0","0402_CC","6800pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","CL05B682KB5NNNC"
"BottomLayer","C804","38.2031","42.7761","180","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
"BottomLayer","C801","31.5554","54.3814","0","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
"BottomLayer","C640","56.6270","45.4758","90","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C637","48.5073","34.7438","180","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C636","43.5870","35.9225","180","0603_CC","CAP CER 10UF 6.3V X6S 0603","JMK107BC6106MA-T"
"BottomLayer","C629","60.0952","38.9125","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C628","59.6670","43.2923","90","0603_CC","CAP CER 10UF 6.3V X6S 0603","JMK107BC6106MA-T"
"BottomLayer","C627","57.8751","32.1509","270","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C626","48.5073","33.9487","180","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C625","54.0233","43.2458","90","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C624","56.8566","31.7209","270","0603_CC","CAP CER 10UF 6.3V X6S 0603","JMK107BC6106MA-T"
"BottomLayer","C623","44.6587","39.1298","0","0402_CC","CAP VER 0.1UF 16V X7R 0402","CL05B104KO5NNNC"
"BottomLayer","C622","43.5870","33.4841","0","0603_CC","CAP CER 10UF 6.3V X6S 0603","JMK107BC6106MA-T"
"BottomLayer","C621","62.0876","32.8941","270","0603_CC","CAP CER 10UF 6.3V X6S 0603","JMK107BC6106MA-T"
"BottomLayer","C620","46.5375","35.2139","270","0603_CC","CAP CER 0.022UF 50V X7R 0603","CC0603JRX7R9BB223"
"BottomLayer","C613","50.1021","48.7210","270","0402_CC","CAP CER 18PF 50V C0G/NPO 0402","CC0402JRNPO9BN180"
"BottomLayer","C612","55.2921","48.3203","90","0402_CC","CAP CER 18PF 50V C0G/NPO 0402","CC0402JRNPO9BN180"
"BottomLayer","C506","36.4464","16.1594","90","0402_CC","CAP CER 22PF 50V C0G/NPO 0402","C0402C220K5GACTU"
"BottomLayer","C502","45.3250","14.0425","270","0603_CC","CAP CER 1UF 25V X7R 0603","CL10B105KA8NNNC"
"BottomLayer","C501","31.3079","17.4755","180","0603_CC","CAP CER 10UF 6.3V X6S 0603","JMK107BC6106MA-T"
"BottomLayer","C500","44.3011","18.2485","180","0603_CC","CAP CER 1UF 25V X7R 0603","CL10B105KA8NNNC"
"BottomLayer","C105","51.2492","62.0087","0","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
"BottomLayer","C104","48.3440","62.0646","180","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
