Removed Pin From Net: NetName=GPIO_EXP_2 Pin=BUTTONS-1
Removed Pin From Net: NetName=GPIO_EXP_3 Pin=BUTTONS-2
Removed Pin From Net: NetName=GPIO_EXP_4 Pin=BUTTONS-3
Removed Pin From Net: NetName=GPIO_EXP_5 Pin=BUTTONS-4
Removed Pin From Net: NetName=GPIO_EXP_6 Pin=BUTTONS-5
Removed Pin From Net: NetName=+3.3V_VDD Pin=BUTTONS-6
Removed Pin From Net: NetName=+3.3V_VDD Pin=J1101-1
Removed Pin From Net: NetName=NetJ1101_2 Pin=J1101-2
Removed Pin From Net: NetName=NetJ1101_3 Pin=J1101-3
Removed Pin From Net: NetName=GND Pin=J1101-4
Removed Pin From Net: NetName=+3.3V_VDD Pin=J1102-1
Removed Pin From Net: NetName=NetJ1102_2 Pin=J1102-2
Removed Pin From Net: NetName=NetJ1102_3 Pin=J1102-3
Removed Pin From Net: NetName=GND Pin=J1102-4
Removed Pin From Net: NetName=CHASIS Pin=J1102-S1
Removed Pin From Net: NetName=CHASIS Pin=J1102-S2
Removed Pin From Net: NetName=GND Pin=J1103-1
Removed Pin From Net: NetName=CH7 Pin=J1103-2
Removed Pin From Net: NetName=CH6 Pin=J1103-3
Removed Pin From Net: NetName=CH5 Pin=J1103-4
Removed Pin From Net: NetName=CH4 Pin=J1103-5
Removed Pin From Net: NetName=CH3 Pin=J1103-6
Removed Pin From Net: NetName=CH2 Pin=J1103-7
Removed Pin From Net: NetName=CH0 Pin=J1104-1
Removed Pin From Net: NetName=GND Pin=J1104-2
Removed Pin From Net: NetName=CH1 Pin=J1105-1
Removed Pin From Net: NetName=GND Pin=J1105-2
Removed Pin From Net: NetName=NetJ1101_3 Pin=R1113-2
Removed Pin From Net: NetName=NetJ1102_2 Pin=R1114-2
Removed Member From Class: ClassName=11 EXPANSION CN Member=BUTTONS
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1101
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1102
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1103
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1104
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1105
Change Component Footprint: Designator=J? Old Footprint=GCT FFC2B28-24 New Footprint=HIROSE DF13A-4P-1.25H
Change Component Comment : Designator=J? Old Comment=FFC2B28-24-G New Comment=I2C_CONN
Change component parameters: Designator = "J?" ("J?"); Footprint = "GCT FFC2B28-24"; UniqueID = "\FEHQPOGQ" ("\FEHQPOGQ")
Add component (AddParameter): Name = "Material Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions"; Value = "8"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Positions Loaded"; Value = "All"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-25°C ~ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "BM08B-SRSS-TB(LF)(SN)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "24"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch - Mating"; Value = "0.039" (1.00mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.44"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "SR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Shrouding"; Value = "Shrouded - 4 Wall"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Style"; Value = "Board to Cable/Wire"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "455-1794-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=CH2 Pin=J?-1
Added Pin To Net: NetName=GND Pin=J?-1
Added Pin To Net: NetName=GND Pin=J?-1
Added Pin To Net: NetName=GND Pin=J?-1
Added Pin To Net: NetName=GND Pin=J?-1
Added Pin To Net: NetName=GPIO_EXP_2 Pin=J?-1
Added Pin To Net: NetName=CH0 Pin=J?-2
Added Pin To Net: NetName=CH1 Pin=J?-2
Added Pin To Net: NetName=CH3 Pin=J?-2
Added Pin To Net: NetName=GPIO_EXP_3 Pin=J?-2
Added Pin To Net: NetName=NetJ1102_2 Pin=J?-2
Added Pin To Net: NetName=NetJ1102_3 Pin=J?-2
Added Pin To Net: NetName=CH4 Pin=J?-3
Added Pin To Net: NetName=GPIO_EXP_4 Pin=J?-3
Added Pin To Net: NetName=NetJ1101_2 Pin=J?-3
Added Pin To Net: NetName=NetJ1101_3 Pin=J?-3
Added Pin To Net: NetName=+3.3V_VDD Pin=J?-4
Added Pin To Net: NetName=+3.3V_VDD Pin=J?-4
Added Pin To Net: NetName=CH5 Pin=J?-4
Added Pin To Net: NetName=GPIO_EXP_5 Pin=J?-4
Added Pin To Net: NetName=CH6 Pin=J?-5
Added Pin To Net: NetName=GPIO_EXP_6 Pin=J?-5
Added Pin To Net: NetName=+3.3V_VDD Pin=J?-6
Added Pin To Net: NetName=CH7 Pin=J?-6
Added Pin To Net: NetName=GND Pin=J?-7
Added Pin To Net: NetName=NetJ1102_2 Pin=R1113-2
Added Pin To Net: NetName=NetJ1101_3 Pin=R1114-2
Change Net Name : Old Net Name=NetJ1101_2 New Net Name=NetJ?_3
Change Net Name : Old Net Name=NetJ1101_3 New Net Name=NetJ?_3
Change Net Name : Old Net Name=NetJ1102_2 New Net Name=NetJ?_2
Change Net Name : Old Net Name=NetJ1102_3 New Net Name=NetJ?_2
Added Class: Name=N000-1_[0..3]
Added Class: Name=N000-3_[0..6]
Added Class: Name=N000-4_[0..1]
Added Class: Name=N000-5_[0..1]
Added Class: Name=N000-6_[0..2]
Added Class: Name=N000-7_[0..3]
Added Class: Name=N000-8_[0..9]
Added Class: Name=N000-9_[0..1]
Added Class: Name=N000-10_[0..8]
Added Class: Name=N000-11_[0..3]
Added Class: Name=N000-13_[0..15]
Added Class: Name=N000-14_[0..1]
Added Class: Name=N000-15_[0..2]
Added Class: Name=N000-16_[0..1]
Added Class: Name=N000-17_[0..5]
Added Class: Name=N000-18_[0..9]
Added Class: Name=N000-20_[0..3]
Added Member To Class: ClassName=11 EXPANSION CN Member=Component J? I2C_CONN
Added Member To Class: ClassName=11 EXPANSION CN Member=Component J? BUTTON_CONN
Added Member To Class: ClassName=11 EXPANSION CN Member=Component J? ADC_CH1
Added Member To Class: ClassName=11 EXPANSION CN Member=Component J? ADC_CH0
Added Member To Class: ClassName=11 EXPANSION CN Member=Component J? ADC_CONN
Added Member To Class: ClassName=11 EXPANSION CN Member=Component J? UART_CONN
